Catcode	Catname	Catorder	Industry	Sector	Sector Long
A0000	Agriculture	A11	Misc Agriculture	Agribusiness	Agribusiness
A1000	Crop production and basic processing	A01	Crop Production and Basic Processing	Agribusiness	Agribusiness
A1100	Cotton	A01	Crop Production and Basic Processing	Agribusiness	Agribusiness
A1200	Sugar cane and sugar beets	A01	Crop Production and Basic Processing	Agribusiness	Agribusiness
A1300	Tobacco and Tobacco products	A02	Tobacco	Agribusiness	Agribusiness
A1400	Vegetables, fruits and tree nut	A01	Crop Production and Basic Processing	Agribusiness	Agribusiness
A1500	Wheat, corn, soybeans and cash grain	A01	Crop Production and Basic Processing	Agribusiness	Agribusiness
A1600	Other commodities (incl rice, peanuts, honey)	A01	Crop Production and Basic Processing	Agribusiness	Agribusiness
A2000	Milk and dairy producers	A04	Dairy	Agribusiness	Agribusiness
A2300	Poultry and eggs	A05	Poultry and Eggs	Agribusiness	Agribusiness
A3000	Livestock	A06	Livestock	Agribusiness	Agribusiness
A3100	Animal feed and health products	A07	Agricultural Services/Products	Agribusiness	Agribusiness
A3200	Sheep and Wool Producers	A06	Livestock	Agribusiness	Agribusiness
A3300	Feedlots and related livestock services	A06	Livestock	Agribusiness	Agribusiness
A3500	Horse breeders	A06	Livestock	Agribusiness	Agribusiness
A4000	Agricultural services and related industries	A07	Agricultural Services/Products	Agribusiness	Agribusiness
A4100	Agricultural chemicals (fertilizers and pesticides)	A07	Agricultural Services/Products	Agribusiness	Agribusiness
A4200	Farm machinery and equipment	A07	Agricultural Services/Products	Agribusiness	Agribusiness
A4300	Grain traders and terminals	A07	Agricultural Services/Products	Agribusiness	Agribusiness
A4500	Veterinarians	A07	Agricultural Services/Products	Agribusiness	Agribusiness
A5000	Forestry and Forest Products	A10	Forestry and Forest Products	Agribusiness	Agribusiness
A5200	Paper and pulp mills and paper manufacturing	A10	Forestry and Forest Products	Agribusiness	Agribusiness
A6000	Farm organizations and cooperatives	A07	Agricultural Services/Products	Agribusiness	Agribusiness
A6500	Farm bureaus	A07	Agricultural Services/Products	Agribusiness	Agribusiness
A8000	Florists and Nursery Services	A07	Agricultural Services/Products	Agribusiness	Agribusiness
B0000	Construction and Public Works	C01	General Contractors	Construction	Construction
B0500	Builders associations	C01	General Contractors	Construction	Construction
B1000	Public works, industrial and commercial construction	C01	General Contractors	Construction	Construction
B1200	Dredging Contractors	C01	General Contractors	Construction	Construction
B1500	Construction, unclassified	C01	General Contractors	Construction	Construction
B2000	Residential construction	C02	Home Builders	Construction	Construction
B2400	Mobile home construction	C02	Home Builders	Construction	Construction
